Title,1,2,3,4,5,6,7,8,9
'Fit-for-purpose?' - Challenges and opportunities for applications of blockchain technology in the future of healthcare,0.11156177122582378,0.11127748710449077,0.11401024246530683,0.11098585209015326,0.11136635402281288,0.11163132536235956,0.11079276194658491,0.10856893508019272,0.10980527070227528
"‘Solve for India, solve for the world’: Strategies of India to lead with new age disruptive technologies",0.11257291840300511,0.10996418859212638,0.11153691976134841,0.11161731375013621,0.11089082576798788,0.11074374677630236,0.11148379790960884,0.11104911507875388,0.11014117396073088
“Everything and its opposite” - Socio-economic implications of Blockchain technology: Case of monetary policy,0.11119644130392987,0.11063658303940983,0.1112047546967329,0.11126497156284791,0.11102260664653035,0.11197998202314048,0.11057197410292002,0.11111493083132189,0.11100775579316666
"“The margin between the edge of the world and infinite possibility”: Blockchain, GDPR and information governance",0.1115592665693573,0.11152608356690837,0.10988172296461757,0.10911877891017263,0.11196792548061864,0.11071658944657783,0.11286829680647549,0.11036216754419119,0.11199916871108102
"(Block) Chain Reaction: A Blockchain Revolution Sweeps into Health Care, Offering the Possibility for a Much-Needed Data Solution",0.11107919699704037,0.10970546762152132,0.11226906936827281,0.11114065210194608,0.11143702760063208,0.11327580351198162,0.11088123623359558,0.11013388102030103,0.11007766554470914
(How) can blockchain contribute to the management of systemic risks in global supply networks?,0.11077534347058687,0.11006324288875757,0.11082712293925912,0.11197933833345611,0.11092490920854332,0.11073822878735307,0.11185871351598164,0.11052259362428046,0.11231050723178178
(Invited Paper) on the Security of Blockchain Consensus Protocols,0.11030758908914802,0.11011661522837522,0.11216850626032249,0.10928582291124755,0.11026893461289372,0.11201799592089792,0.11153489053564138,0.1129930880102167,0.11130655743125693
(Poster) blockchain-based edge computing for deep neural network applications,0.1104556535224314,0.11167773200288134,0.11091024707179745,0.11330761671387404,0.11028462759879926,0.1097285453800292,0.1101858452285786,0.11063646829659848,0.1128132641850102
"10th EAI International Conference on e-Infrastructure and e-Services for Developing Countries, AFRICOMM 2018",0.1106290906801984,0.11173500354762254,0.11059265936782103,0.11067329367730833,0.11054786823127771,0.11073780654670835,0.11279403846665646,0.1114737563438594,0.11081648313854779
"11th Asian Conference on Intelligent Information and Database Systems, ACIIDS 2019",0.1108260507450322,0.10627986464317452,0.11913293873227362,0.10606395427538232,0.12389346587315411,0.10748070631604038,0.1073713484104829,0.1066923160544725,0.11225935494998751
"11th International Conference on Metadata and Semantic Research, MTSR 2017",0.11012278333461414,0.10948331495242072,0.11304643635183968,0.1112715385294923,0.1106711300249307,0.10917620717434044,0.11006818258304307,0.11187600263236123,0.11428440441695772
"11th International Conference on Metadata and Semantic Research, MTSR 2017",0.11037383006784841,0.11138570337368071,0.11025768856111758,0.11310722757612862,0.1106641002988317,0.11007705858161417,0.11062260063779332,0.11102869509871602,0.11248309580426952
"11th International Conference on Provable Security, ProvSec 2017",0.1096559513346017,0.11542089697802368,0.11067498746746696,0.10992987642910518,0.11044646081178738,0.11024452807863909,0.10978030401570998,0.11246612381747687,0.11138087106718918
"11th International Conference on Security for Information Technology and Communications, SecITC 2018",0.10780207943583527,0.12213198065363892,0.11045353850944399,0.11050496873329951,0.10695371253664251,0.11114734203973778,0.10918314666468364,0.11014710689160367,0.11167612453511476
"11th International Conference on Wireless Internet , WiCON 2018",0.11080204783890774,0.10962930889281557,0.11337203873303814,0.11025407496255266,0.11264181818477635,0.11037877708355262,0.1097777382824232,0.11231429831230046,0.11082989770963331
